Category,High-Level-Health-Priority-Area,Reference
Integrated Trauma ,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Oral Health ,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Hepatitis B,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Hepatitis C,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Sexually Transmissible ,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Infections,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
HIV,Care Focus Area,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
NSW Regional  Health Strategy,Enablers,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Health Workforce Plan,Enablers,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Health Infrastructure Strategy,Enablers,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Health Genomics Strategy,Enablers,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
eHealth Strategy,Enablers,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Healthy Eating and Active Living,Health Promotion,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Living Well in Focus  2020 - 2024,Health Promotion,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Future Health,Health Promotion,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Population Health Research Strategy,Health Promotion,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Aboriginal Health Plan,Health Promotion,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
End of Life and Palliative Care Framework,Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Mens Health Framework,Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Women's Health Framework,Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Youth Health Framework,Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Rostering Framework (2018 - 2023),Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Health Disability Inclusion Action Plan,Care Frameworks,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Aboriginal Mental Health and Wellbeing,Mental Health and Wellbeing,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
Suicide Prevention,Mental Health and Wellbeing,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 
NSW Plan for Healthy Culturally and Diverse Communities,Mental Health and Wellbeing,https://www.health.nsw.gov.au/priorities/Pages/default.aspx 